25, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,35, Poland, <=50K
24, Private, HS-grad, Divorced, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K
19, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
43, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,82, United-States, >50K
59, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K
28, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
63, Private, Some-college, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,60, United-States, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Wife, White, Male,0,0,40, Vietnam, <=50K
72, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
61, Local-gov, Masters, Widowed, Handlers-cleaners, Not-in-family, White, Female,0,0,30, United-States, <=50K
24, Private, Assoc-acdm, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,10, El-Salvador, <=50K
55, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Scotland, <=50K
44, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,37, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,4479,0,40, Portugal, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
49, Private, HS-grad, Separated, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
