25, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,35, Hong, <=50K
24, Private, HS-grad, Divorced, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K
19, Private, 12th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, Mexico, <=50K
44, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,80, Laos, >50K
59, Private, HS-grad, Divorced, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, 9th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Japan, <=50K
63, Local-gov, Masters, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,60, Italy, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Wife, Black, Male,0,0,40, Yugoslavia, <=50K
72, Private, HS-grad, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, India, <=50K
61, Local-gov, Masters, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
24, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, Other, Female,0,0,25, United-States, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,10, Columbia, <=50K
56, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Honduras, <=50K
44, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,36, United-States, <=50K
43, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,3325,0,40, England, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,32, Vietnam, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,50, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
27, Federal-gov, Bachelors, Never-married, Adm-clerical, Own-child, Black, Male,0,1816,40, Italy, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,50, United-States, <=50K
22, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, England, >50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, Laos, >50K
22, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, Iran, <=50K
57, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,52, Puerto-Rico, <=50K
40, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,60, Columbia, <=50K
58, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, China, >50K
41, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,48, Yugoslavia, <=50K
58, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Japan, <=50K
38, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,7298,0,35, United-States, >50K
45, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
33, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,3211,0,89, Jamaica, <=50K
64, Private, Bachelors, Separated, Machine-op-inspct, Wife, Other, Female,0,0,20, Hungary, <=50K
68, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
39, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,50, United-States, >50K
26, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
19, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
19, Local-gov, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,40, Nicaragua, <=50K
31, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
33, Federal-gov, Bachelors, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,35, United-States, >50K
36, Private, Assoc-voc, Widowed, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
22, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
32, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,2393,40, Yugoslavia, >50K
32, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,50, Haiti, <=50K
57, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1936,60, Italy, <=50K
47, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
40, State-gov, Prof-school, Divorced, Adm-clerical, Not-in-family, White, Female,0,1485,40, Haiti, <=50K
45, Self-emp-not-inc, 10th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
56, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Ireland, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Cuba, <=50K
21, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
17, Private, 11th, Never-married, Protective-serv, Own-child, Black, Female,0,0,20, United-States, <=50K
41, Private, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,48, Scotland, <=50K
56, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
24, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,4797,0,40, United-States, <=50K
56, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, >50K
35, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Doctorate, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Peru, >50K
61, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,82,0,54, Portugal, <=50K
35, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,99999,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
26, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Other, Female,0,0,40, Greece, <=50K
41, Private, Bachelors, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Female,99999,0,60, United-States, >50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, Ireland, >50K
21, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Tech-support, Own-child, Black, Male,0,0,40, Hong, <=50K
49, Private, Bachelors, Widowed, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,35, Portugal, <=50K
21, Private, 12th, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, >50K
51, Local-gov, Assoc-acdm, Divorced, Tech-support, Unmarried, Black, Female,0,0,35, Dominican-Republic, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,48, India, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,15024,0,54, United-States, >50K
60, Local-gov, Doctorate, Divorced, Exec-managerial, Wife, Other, Female,7298,0,48, United-States, >50K
31, Private, HS-grad, Divorced, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
24, Private, 11th, Never-married, Sales, Own-child, White, Male,4853,0,30, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Germany, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,48, El-Salvador, <=50K
22, Private, Prof-school, Never-married, Farming-fishing, Unmarried, White, Male,0,0,60, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Other, Male,0,0,35, United-States, <=50K
40, Local-gov, Bachelors, Divorced, Sales, Unmarried, Black, Female,0,0,45, United-States, <=50K
23, State-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,25, Thailand, <=50K
20, Private, HS-grad, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
64, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,20, Dominican-Republic, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,30, Japan, >50K
33, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,20, United-States, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
27, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
23, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,1865,40, Puerto-Rico, >50K
23, Local-gov, Assoc-voc, Never-married, Other-service, Own-child, White, Male,0,0,35, England, <=50K
37, Federal-gov, Assoc-acdm, Divorced, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
55, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Wife, White, Female,4729,0,40, United-States, >50K
27, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,32, United-States, <=50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
45, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,15024,0,45, Outlying-US(Guam-USVI-etc), >50K
29, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States, >50K
26, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,48, United-States, <=50K
36, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,65, United-States, <=50K
50, Without-pay, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Japan, <=50K
41, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Scotland, <=50K
43, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,1611,0,40, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
58, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,48, United-States, >50K
51, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
25, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
46, Private, HS-grad, Never-married, Sales, Unmarried, Black, Male,0,0,35, United-States, <=50K
23, Private, Assoc-voc, Never-married, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,54, United-States, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,48, Ecuador, <=50K
59, Self-emp-not-inc, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Male,0,2251,40, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
46, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,45, United-States, >50K
32, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
18, Private, 11th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Laos, <=50K
51, State-gov, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,35, United-States, <=50K
29, Private, 10th, Married-spouse-absent, Prof-specialty, Own-child, Black, Female,0,0,40, Puerto-Rico, <=50K
56, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
53, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Self-emp-not-inc, Some-college, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Greece, <=50K
28, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
60, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,24, United-States, >50K
41, Federal-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
34, Federal-gov, Bachelors, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
26, Private, HS-grad, Never-married, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, Bachelors, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Guatemala, <=50K
29, State-gov, Masters, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,35, United-States, >50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
57, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,40, Hungary, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
31, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,45, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,1902,40, United-States, <=50K
59, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
56, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,24, United-States, <=50K
44, Private, HS-grad, Never-married, Protective-serv, Unmarried, Black, Female,0,0,40, United-States, <=50K
33, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
36, Private, HS-grad, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, 9th, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,45, United-States, >50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, United-States, >50K
25, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Assoc-acdm, Divorced, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,38, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Italy, <=50K
29, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
71, Private, Doctorate, Widowed, Sales, Unmarried, White, Female,0,0,5, United-States, <=50K
31, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,45, United-States, >50K
24, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Trinadad&Tobago, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,42, Laos, <=50K
40, Federal-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
46, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,37, United-States, <=50K
39, Private, Prof-school, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
35, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Italy, >50K
31, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,54, United-States, <=50K
30, Federal-gov, Bachelors, Married-spouse-absent, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,54, United-States, <=50K
51, Private, Masters, Divorced, Tech-support, Unmarried, White, Male,0,0,44, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Vietnam, <=50K
61, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Cuba, <=50K
25, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1684,48, United-States, <=50K
40, Private, Doctorate, Married-civ-spouse, Prof-specialty, Wife, White, Female,15024,0,40, Greece, >50K
63, Self-emp-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1902,60, United-States, >50K
25, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
37, Private, Masters, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Unmarried, Other, Male,0,0,40, United-States, <=50K
31, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,4525,0,40, Yugoslavia, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,54, Cambodia, >50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
31, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
50, Local-gov, Masters, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,15, United-States, <=50K
67, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1885,20, Columbia, >50K
60, Self-emp-not-inc, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,84, United-States, <=50K
52, Private, Some-college, Separated, Adm-clerical, Wife, Other, Female,8450,0,15, United-States, <=50K
50, Private, Masters, Separated, Exec-managerial, Wife, White, Female,0,0,36, United-States, <=50K
33, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,50, Italy, >50K
40, State-gov, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Protective-serv, Unmarried, Black, Male,0,0,40, United-States, <=50K
20, Federal-gov, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,40, Cambodia, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,50, United-States, <=50K
45, State-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
