42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,1977,60, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,45, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,35, United-States, <=50K
54, Private, 7th-8th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
30, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
18, Private, 11th, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,30, Vietnam, <=50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
32, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, 12th, Never-married, Machine-op-inspct, Husband, White, Male,0,1699,40, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,62, United-States, >50K
64, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,20, El-Salvador, <=50K
24, Self-emp-not-inc, HS-grad, Married-spouse-absent, Sales, Own-child, White, Male,0,0,35, Puerto-Rico, <=50K
43, Self-emp-inc, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
38, Private, HS-grad, Divorced, Transport-moving, Own-child, White, Female,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
30, Private, HS-grad, Divorced, Adm-clerical, Other-relative, White, Male,0,1740,30, United-States, <=50K
29, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Female,0,0,16, United-States, <=50K
35, Private, Bachelors, Married-spouse-absent, Exec-managerial, Husband, White, Male,7298,0,50, United-States, >50K
28, Federal-gov, Doctorate, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,2230,45, United-States, >50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,64, United-States, <=50K
41, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, Mexico, <=50K
28, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,35, United-States, <=50K
34, Private, Bachelors, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
58, Self-emp-inc, HS-grad, Widowed, Craft-repair, Husband, White, Male,0,0,50, France, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Haiti, >50K
48, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, >50K
61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
39, Local-gov, Some-college, Never-married, Tech-support, Unmarried, Black, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
32, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
67, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,75, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
56, Self-emp-not-inc, Masters, Divorced, Prof-specialty, Unmarried, White, Female,0,0,45, United-States, <=50K
64, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,69, United-States, >50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,50, United-States, >50K
27, Private, Some-college, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
40, Private, Assoc-acdm, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,36, United-States, <=50K
62, Private, Assoc-acdm, Divorced, Other-service, Wife, White, Male,0,0,35, United-States, >50K
29, Local-gov, Assoc-acdm, Divorced, Prof-specialty, Own-child, White, Male,0,0,45, United-States, <=50K
26, Local-gov, HS-grad, Never-married, Prof-specialty, Other-relative, White, Female,0,0,10, United-States, <=50K
50, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,2880,0,45, United-States, >50K
20, Private, Assoc-voc, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,54, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,23, Vietnam, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Self-emp-inc, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,45, United-States, <=50K
52, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
30, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Taiwan, >50K
28, Private, 11th, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, >50K
31, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
47, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Sales, Own-child, Black, Female,0,0,40, India, <=50K
31, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Yugoslavia, >50K
22, Private, HS-grad, Never-married, Prof-specialty, Own-child, Black, Female,0,0,50, United-States, <=50K
34, Private, Masters, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,12, United-States, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,53, United-States, <=50K
46, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
35, Self-emp-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,72, United-States, <=50K
55, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Protective-serv, Not-in-family, White, Female,0,0,50, United-States, <=50K
24, Self-emp-inc, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
39, Local-gov, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
49, Private, Bachelors, Divorced, Adm-clerical, Wife, Black, Female,0,0,30, United-States, <=50K
53, Private, Bachelors, Divorced, Adm-clerical, Wife, White, Female,4808,0,40, United-States, <=50K
38, Private, Bachelors, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, South, <=50K
43, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
27, Private, 5th-6th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,15, United-States, <=50K
28, Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Italy, <=50K
36, Private, Some-college, Never-married, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
45, Self-emp-inc, Bachelors, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,35, United-States, <=50K
40, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,99999,0,70, United-States, >50K
63, Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Mexico, <=50K
58, Private, Masters, Separated, Farming-fishing, Wife, White, Male,0,0,40, United-States, <=50K
27, Private, Preschool, Never-married, Adm-clerical, Own-child, White, Female,0,0,36, United-States, <=50K
31, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
35, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
56, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Italy, <=50K
29, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, >50K
31, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,79, United-States, <=50K
37, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,5, United-States, <=50K
21, Local-gov, 11th, Never-married, Other-service, Own-child, White, Female,0,0,8, Nicaragua, <=50K
45, Federal-gov, 9th, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, >50K
60, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
45, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
21, State-gov, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
47, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Wife, White, Female,0,0,24, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,14324,0,40, United-States, <=50K
58, Without-pay, Prof-school, Never-married, Prof-specialty, Husband, White, Male,99999,0,44, United-States, >50K
21, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,30, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
47, Self-emp-inc, Masters, Married-civ-spouse, Priv-house-serv, Husband, White, Male,7687,0,40, United-States, >50K
25, Private, Masters, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,54, United-States, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
26, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
75, Private, 7th-8th, Separated, Priv-house-serv, Husband, White, Male,0,0,10, United-States, >50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Mexico, >50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,80, United-States, >50K
42, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,5013,0,50, United-States, <=50K
78, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Local-gov, 9th, Never-married, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
64, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Unmarried, Black, Female,0,0,24, United-States, <=50K
38, State-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
28, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, <=50K
22, Local-gov, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,35, United-States, >50K
59, Private, HS-grad, Divorced, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Masters, Never-married, Handlers-cleaners, Not-in-family, Black, Female,7687,0,40, United-States, >50K
37, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
39, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,20, Philippines, <=50K
34, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
