41, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,1977,60, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,45, United-States, <=50K
35, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,35, United-States, <=50K
55, Private, 7th-8th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Some-college, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
18, Private, 11th, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,30, Vietnam, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
33, Local-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
28, Private, 5th-6th, Never-married, Handlers-cleaners, Husband, White, Male,0,1755,40, United-States, <=50K
24, Private, Bachelors, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States, >50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,20, Dominican-Republic, <=50K
24, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,35, Nicaragua, <=50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, >50K
39, Private, HS-grad, Divorced, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,43, Taiwan, >50K
31, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,1887,25, United-States, <=50K
29, Self-emp-not-inc, Assoc-acdm, Never-married, Protective-serv, Own-child, White, Female,0,0,16, United-States, <=50K
37, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,5013,0,52, United-States, >50K
28, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
33, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,2414,40, United-States, >50K
42, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,63, United-States, >50K
41, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, Jamaica, <=50K
29, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,35, United-States, <=50K
34, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
58, Self-emp-inc, HS-grad, Widowed, Craft-repair, Husband, White, Male,0,0,50, England, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Hong, >50K
48, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, >50K
62, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
40, Local-gov, Some-college, Never-married, Tech-support, Unmarried, Black, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
32, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
69, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,79, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
64, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,50, United-States, >50K
28, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,36, United-States, <=50K
63, Private, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, >50K
29, Local-gov, HS-grad, Divorced, Machine-op-inspct, Own-child, White, Male,0,0,45, United-States, <=50K
28, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,10, United-States, <=50K
52, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,48, United-States, >50K
20, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,54, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,22, Vietnam, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Portugal, <=50K
44, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,45, United-States, <=50K
52, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, >50K
29, Private, 11th, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Female,0,0,20, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,62, United-States, >50K
32, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
47, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Sales, Not-in-family, Black, Female,0,0,40, Germany, <=50K
32, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,50, United-States, <=50K
34, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-spouse-absent, Tech-support, Not-in-family, White, Female,0,0,12, United-States, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,53, United-States, <=50K
47, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,72, United-States, >50K
56, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
24, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Local-gov, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Poland, >50K
50, Private, Bachelors, Divorced, Exec-managerial, Wife, White, Female,0,0,30, United-States, <=50K
53, Private, HS-grad, Divorced, Craft-repair, Wife, White, Female,4064,0,40, United-States, <=50K
39, Private, HS-grad, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Portugal, <=50K
43, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
28, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female,0,0,16, United-States, >50K
28, Local-gov, Assoc-voc, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Hong, <=50K
37, Private, Some-college, Never-married, Farming-fishing, Wife, White, Male,0,0,40, Peru, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
46, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,99999,0,70, United-States, >50K
64, Local-gov, HS-grad, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Jamaica, <=50K
58, Private, Some-college, Never-married, Farming-fishing, Wife, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,37, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
35, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
