43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1977,60, Dominican-Republic, >50K
40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Iran, >50K
24, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, England, <=50K
23, Private, HS-grad, Never-married, Prof-specialty, Own-child, Other, Male,0,0,48, El-Salvador, <=50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, Other, Male,0,0,35, Trinadad&Tobago, <=50K
56, Private, 7th-8th, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, El-Salvador, <=50K
31, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, Ecuador, <=50K
18, Private, 11th, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,30, Yugoslavia, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Dominican-Republic, >50K
33, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
29, Private, Assoc-acdm, Never-married, Machine-op-inspct, Husband, White, Female,0,1716,40, South, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
30, Self-emp-not-inc, Bachelors, Married-spouse-absent, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,65, Nicaragua, >50K
66, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,20, Canada, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Cuba, <=50K
45, Self-emp-inc, Some-college, Never-married, Exec-managerial, Not-in-family, Other, Female,0,0,60, Poland, <=50K
40, Private, HS-grad, Married-spouse-absent, Transport-moving, Own-child, Black, Female,0,0,40, Vietnam, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, China, >50K
31, Private, Masters, Divorced, Adm-clerical, Not-in-family, Other, Male,0,1801,30, Yugoslavia, <=50K
30, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,16, Jamaica, >50K
36, Private, Bachelors, Married-spouse-absent, Exec-managerial, Husband, Black, Male,7298,0,52, Yugoslavia, >50K
29, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,1863,0,50, Ecuador, <=50K
34, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Black, Female,0,2414,42, Jamaica, >50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, Trinadad&Tobago, <=50K
42, Private, HS-grad, Divorced, Craft-repair, Own-child, Other, Female,0,0,35, China, <=50K
30, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,35, El-Salvador, <=50K
35, Private, HS-grad, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
25, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,45, Germany, <=50K
59, Self-emp-inc, HS-grad, Widowed, Craft-repair, Husband, Black, Female,0,0,50, Cambodia, <=50K
52, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Canada, >50K
