42, Self-emp-inc, HS-grad, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,1977,60, United-States, >50K
39, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,46, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, <=50K
55, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Private, 11th, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,30, Vietnam, <=50K
43, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
32, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, Assoc-acdm, Never-married, Other-service, Husband, White, Male,0,1887,40, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, >50K
64, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,20, El-Salvador, <=50K
24, Private, Some-college, Married-civ-spouse, Sales, Own-child, Black, Male,0,0,35, United-States, <=50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, United-States, >50K
39, Private, Doctorate, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,45, United-States, >50K
29, Private, Prof-school, Married-civ-spouse, Adm-clerical, Other-relative, White, Male,0,1848,24, United-States, >50K
30, Private, 9th, Never-married, Other-service, Own-child, White, Female,0,0,16, United-States, <=50K
36, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,7298,0,54, United-States, <=50K
28, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,1862,0,50, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1977,43, United-States, >50K
44, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,62, United-States, <=50K
41, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,35, Mexico, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
34, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States, >50K
25, Private, Bachelors, Never-married, Craft-repair, Husband, White, Female,0,0,45, United-States, <=50K
59, Self-emp-inc, HS-grad, Widowed, Craft-repair, Husband, White, Male,0,0,50, Greece, <=50K
52, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, India, >50K
50, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,1902,40, United-States, <=50K
62, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,48, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Black, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
62, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,10520,0,70, United-States, >50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
57, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, >50K
