43, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,1977,60, Honduras, >50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Bachelors, Never-married, Farming-fishing, Own-child, White, Female,0,0,40, Philippines, <=50K
23, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,48, Jamaica, <=50K
35, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,35, United-States, <=50K
55, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Jamaica, <=50K
30, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,40, India, <=50K
18, Private, 11th, Married-civ-spouse, Farming-fishing, Own-child, Other, Male,0,0,30, Yugoslavia, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Iran, >50K
33, Local-gov, Bachelors, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,1671,40, United-States, <=50K
24, Private, Bachelors, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,65, United-States, >50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,20, China, <=50K
24, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Own-child, Black, Male,0,0,35, Honduras, <=50K
44, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, White, Female,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,43, France, >50K
30, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,1628,30, Vietnam, <=50K
