43, Self-emp-not-inc, Doctorate, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1977,60, Ecuador, >50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Laos, >50K
24, Private, Bachelors, Never-married, Craft-repair, Other-relative, White, Female,0,0,40, Germany, <=50K
23, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,48, France, <=50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,35, United-States, <=50K
55, Private, 7th-8th, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,40, France, >50K
30, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
18, Private, 11th, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,30, Yugoslavia, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, El-Salvador, <=50K
33, Local-gov, HS-grad, Separated, Exec-managerial, Own-child, Black, Male,0,0,40, United-States, <=50K
28, Private, 12th, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,1668,40, United-States, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Mexico, <=50K
29, Self-emp-not-inc, Bachelors, Never-married, Tech-support, Husband, Black, Female,0,0,65, Puerto-Rico, >50K
64, Self-emp-not-inc, Masters, Married-civ-spouse, Priv-house-serv, Husband, White, Female,0,0,20, Canada, <=50K
24, Self-emp-not-inc, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,35, Ecuador, <=50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,60, Trinadad&Tobago, <=50K
39, Private, HS-grad, Divorced, Transport-moving, Unmarried, Other, Female,0,0,40, Vietnam, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, Columbia, >50K
30, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,1669,30, Yugoslavia, <=50K
29, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,16, Peru, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7298,0,54, Yugoslavia, >50K
28, Federal-gov, Bachelors, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,50, England, <=50K
35, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,2414,40, Outlying-US(Guam-USVI-etc), >50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,65, United-States, <=50K
41, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,36, Columbia, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Female,0,0,35, France, <=50K
34, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,40, El-Salvador, <=50K
24, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,45, Guatemala, <=50K
58, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Husband, Black, Female,0,0,50, Canada, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, Canada, >50K
49, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,1902,40, Yugoslavia, >50K
62, Private, Masters, Separated, Exec-managerial, Husband, Other, Male,0,0,46, United-States, <=50K
40, Local-gov, Some-college, Divorced, Tech-support, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Own-child, Black, Male,0,0,40, France, <=50K
26, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,60, Hong, <=50K
32, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,40, Hong, <=50K
67, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,80, England, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Black, Female,0,0,40, Ecuador, <=50K
57, Self-emp-not-inc, Masters, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,45, Scotland, <=50K
65, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,70, Philippines, >50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,7687,0,50, Philippines, >50K
27, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Greece, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,36, Portugal, <=50K
63, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,35, United-States, >50K
29, Federal-gov, Assoc-acdm, Divorced, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,45, Germany, <=50K
27, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,10, Ireland, <=50K
51, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,2055,0,45, Puerto-Rico, >50K
20, Private, Assoc-voc, Separated, Other-service, Unmarried, Other, Male,0,0,40, Peru, <=50K
41, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, Black, Male,0,0,54, Iran, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,24, Yugoslavia, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Dominican-Republic, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, El-Salvador, <=50K
44, Private, Assoc-voc, Separated, Other-service, Unmarried, Black, Female,0,0,45, Jamaica, <=50K
52, Private, Some-college, Divorced, Prof-specialty, Unmarried, Other, Female,0,0,40, Scotland, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Ecuador, >50K
29, Private, 11th, Never-married, Tech-support, Own-child, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
19, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,20, Peru, <=50K
39, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, >50K
32, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
47, Private, 1st-4th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, El-Salvador, <=50K
41, Private, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, China, <=50K
32, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
22, Private, HS-grad, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,53, United-States, <=50K
34, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
22, Private, Masters, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,20, Trinadad&Tobago, <=50K
51, Self-emp-inc, Masters, Divorced, Tech-support, Not-in-family, White, Male,0,0,12, Hungary, <=50K
32, Private, Bachelors, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,54, United-States, <=50K
47, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
35, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,72, Japan, <=50K
56, Private, Masters, Divorced, Sales, Not-in-family, White, Male,0,0,40, Greece, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Guatemala, <=50K
24, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, Mexico, <=50K
56, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Philippines, >50K
39, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Cuba, <=50K
50, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,30, Peru, <=50K
53, Private, Bachelors, Divorced, Craft-repair, Wife, White, Female,4867,0,40, El-Salvador, <=50K
39, Private, Bachelors, Divorced, Armed-Forces, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
44, Private, Bachelors, Separated, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, >50K
28, Private, 7th-8th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,16, United-States, >50K
