42, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,1977,60, Dominican-Republic, >50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Jamaica, >50K
24, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, France, <=50K
22, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,50, England, <=50K
34, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,35, United-States, <=50K
53, Private, 7th-8th, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,40, England, <=50K
29, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, El-Salvador, <=50K
18, Private, 11th, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,32, Yugoslavia, <=50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, Ecuador, <=50K
32, Local-gov, Bachelors, Never-married, Farming-fishing, Own-child, Black, Male,0,0,40, Trinadad&Tobago, <=50K
28, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,1671,40, Trinadad&Tobago, <=50K
23, Private, Bachelors, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,65, Peru, >50K
63, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,20, Canada, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,36, Dominican-Republic, <=50K
42, Self-emp-inc, Some-college, Never-married, Exec-managerial, Husband, Other, Female,0,0,60, Scotland, <=50K
38, Private, Bachelors, Never-married, Transport-moving, Own-child, Other, Female,0,0,40, Vietnam, <=50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,45, Columbia, >50K
30, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,1740,30, Yugoslavia, <=50K
28, Private, Doctorate, Married-civ-spouse, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,20, Mexico, <=50K
35, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,7298,0,57, Yugoslavia, >50K
