42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,1902,60, Dominican-Republic, >50K
39, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, Japan, >50K
24, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Germany, <=50K
23, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,48, England, <=50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,35, United-States, <=50K
55, Private, 1st-4th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, England, >50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
18, Private, 7th-8th, Married-spouse-absent, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,30, Yugoslavia, <=50K
43, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,50, Ecuador, <=50K
33, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
27, Private, Assoc-acdm, Never-married, Machine-op-inspct, Husband, White, Female,0,1902,40, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Laos, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,65, Poland, >50K
64, Private, Some-college, Never-married, Prof-specialty, Husband, White, Female,0,0,20, Canada, <=50K
24, Self-emp-inc, Some-college, Married-spouse-absent, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Dominican-Republic, <=50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,60, Taiwan, >50K
39, Private, Doctorate, Divorced, Transport-moving, Unmarried, Other, Female,0,0,40, Vietnam, <=50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,45, Columbia, >50K
30, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,1887,26, Yugoslavia, <=50K
29, Private, 7th-8th, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,17, Nicaragua, <=50K
