42, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1917,60, Dominican-Republic, >50K
39, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, Ireland, >50K
24, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, England, <=50K
23, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,48, El-Salvador, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,35, United-States, <=50K
54, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, >50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
18, Private, 11th, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,30, Yugoslavia, <=50K
43, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,50, Dominican-Republic, <=50K
33, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, South, <=50K
28, Private, 12th, Never-married, Other-service, Husband, White, Female,0,1899,40, South, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,65, Nicaragua, >50K
64, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,20, Canada, <=50K
24, Private, Some-college, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Dominican-Republic, <=50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,60, Portugal, >50K
39, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,44, Columbia, >50K
30, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Male,0,1887,25, Yugoslavia, >50K
29, Private, 9th, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,17, Japan, <=50K
35, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,6787,0,54, Yugoslavia, >50K
28, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,1123,0,50, Ecuador, >50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,1977,40, Japan, >50K
43, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,65, United-States, <=50K
41, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,36, China, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,35, El-Salvador, <=50K
34, Private, Bachelors, Divorced, Prof-specialty, Own-child, Black, Male,0,0,40, Dominican-Republic, >50K
24, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Female,0,0,45, Germany, <=50K
58, Self-emp-inc, HS-grad, Widowed, Craft-repair, Husband, Black, Female,0,0,50, Canada, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Canada, >50K
49, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,1902,40, Yugoslavia, <=50K
62, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,50, Trinadad&Tobago, <=50K
40, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Scotland, <=50K
41, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, El-Salvador, <=50K
26, Private, Some-college, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,60, Guatemala, <=50K
32, Private, Bachelors, Married-spouse-absent, Prof-specialty, Husband, Other, Male,0,0,40, Guatemala, <=50K
68, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,4009,0,80, Ecuador, >50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
57, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,45, Outlying-US(Guam-USVI-etc), >50K
63, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Male,0,0,70, Laos, >50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Female,7687,0,50, Laos, >50K
27, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
41, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,38, Mexico, <=50K
63, Private, 9th, Divorced, Other-service, Not-in-family, Black, Male,0,0,35, Portugal, >50K
29, Local-gov, 9th, Married-civ-spouse, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,45, England, <=50K
26, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,10, Hungary, <=50K
50, Federal-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,446,0,46, Nicaragua, >50K
20, Private, Assoc-acdm, Separated, Other-service, Wife, Black, Male,0,0,40, Japan, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,54, Honduras, <=50K
40, Self-emp-inc, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,24, Yugoslavia, <=50K
42, Private, Assoc-voc, Divorced, Exec-managerial, Husband, Other, Male,0,0,50, Cuba, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
