,type,this_epoch,total_epochs,batch_num,loss
1,epoch,1,1250,1,20323.738
3,epoch,2,1250,1,19020.713
5,epoch,3,1250,1,18435.49
7,epoch,4,1250,1,18099.219
9,epoch,5,1250,1,17703.324
11,epoch,6,1250,1,17235.102
13,epoch,7,1250,1,16744.057
15,epoch,8,1250,1,16084.676
17,epoch,9,1250,1,15121.237
19,epoch,10,1250,1,13942.288
21,epoch,11,1250,1,12821.3
23,epoch,12,1250,1,11791.855
25,epoch,13,1250,1,10695.477
27,epoch,14,1250,1,9964.458
29,epoch,15,1250,1,9451.28
31,epoch,16,1250,1,9167.98
33,epoch,17,1250,1,8643.845
35,epoch,18,1250,1,8077.23
37,epoch,19,1250,1,7352.79
39,epoch,20,1250,1,6650.0903
41,epoch,21,1250,1,6137.1733
43,epoch,22,1250,1,5897.242
45,epoch,23,1250,1,5803.7383
47,epoch,24,1250,1,5760.1636
49,epoch,25,1250,1,5578.8735
51,epoch,26,1250,1,5337.173
53,epoch,27,1250,1,4989.462
55,epoch,28,1250,1,4633.5215
57,epoch,29,1250,1,4267.1587
59,epoch,30,1250,1,3995.9827
61,epoch,31,1250,1,3803.171
63,epoch,32,1250,1,3698.8098
65,epoch,33,1250,1,3574.958
67,epoch,34,1250,1,3481.3652
69,epoch,35,1250,1,3326.0032
71,epoch,36,1250,1,3146.9128
73,epoch,37,1250,1,2939.7913
75,epoch,38,1250,1,2756.9194
77,epoch,39,1250,1,2595.4497
79,epoch,40,1250,1,2496.307
81,epoch,41,1250,1,2428.5144
83,epoch,42,1250,1,2369.246
85,epoch,43,1250,1,2337.411
87,epoch,44,1250,1,2267.801
89,epoch,45,1250,1,2193.6199
91,epoch,46,1250,1,2108.6794
93,epoch,47,1250,1,2039.2518
95,epoch,48,1250,1,1969.463
97,epoch,49,1250,1,1900.7157
99,epoch,50,1250,1,1832.8324
101,epoch,51,1250,1,1772.7705
103,epoch,52,1250,1,1696.389
105,epoch,53,1250,1,1634.1382
107,epoch,54,1250,1,1580.3575
109,epoch,55,1250,1,1543.2203
111,epoch,56,1250,1,1504.1901
113,epoch,57,1250,1,1459.4784
115,epoch,58,1250,1,1413.4417
117,epoch,59,1250,1,1364.7993
119,epoch,60,1250,1,1327.4462
121,epoch,61,1250,1,1292.7133
123,epoch,62,1250,1,1265.3367
125,epoch,63,1250,1,1235.7046
127,epoch,64,1250,1,1216.381
129,epoch,65,1250,1,1234.4669
131,epoch,66,1250,1,1376.5183
133,epoch,67,1250,1,1491.8989
135,epoch,68,1250,1,1269.1713
137,epoch,69,1250,1,1084.9788
139,epoch,70,1250,1,1301.0446
141,epoch,71,1250,1,1142.4602
143,epoch,72,1250,1,1067.4027
145,epoch,73,1250,1,1185.6497
147,epoch,74,1250,1,1020.62756
149,epoch,75,1250,1,1065.5485
151,epoch,76,1250,1,1052.5814
153,epoch,77,1250,1,977.0036
155,epoch,78,1250,1,1017.25977
157,epoch,79,1250,1,971.61316
159,epoch,80,1250,1,949.97577
161,epoch,81,1250,1,967.1066
163,epoch,82,1250,1,914.3408
165,epoch,83,1250,1,928.54663
167,epoch,84,1250,1,914.1566
169,epoch,85,1250,1,876.2934
171,epoch,86,1250,1,908.2166
173,epoch,87,1250,1,853.2786
175,epoch,88,1250,1,865.5035
177,epoch,89,1250,1,855.59875
179,epoch,90,1250,1,825.57446
181,epoch,91,1250,1,840.73834
183,epoch,92,1250,1,811.9211
185,epoch,93,1250,1,808.132
187,epoch,94,1250,1,802.6799
189,epoch,95,1250,1,789.08014
191,epoch,96,1250,1,779.35223
193,epoch,97,1250,1,778.768
195,epoch,98,1250,1,763.8209
197,epoch,99,1250,1,755.46277
199,epoch,100,1250,1,757.23584
201,epoch,101,1250,1,737.92267
203,epoch,102,1250,1,737.3261
205,epoch,103,1250,1,732.7172
207,epoch,104,1250,1,719.32117
209,epoch,105,1250,1,717.2881
211,epoch,106,1250,1,711.06805
213,epoch,107,1250,1,704.0321
215,epoch,108,1250,1,696.9794
217,epoch,109,1250,1,693.9961
219,epoch,110,1250,1,687.9682
221,epoch,111,1250,1,679.2405
223,epoch,112,1250,1,677.8221
225,epoch,113,1250,1,672.46106
227,epoch,114,1250,1,665.3396
229,epoch,115,1250,1,661.80145
231,epoch,116,1250,1,657.63794
233,epoch,117,1250,1,653.3788
235,epoch,118,1250,1,647.75635
237,epoch,119,1250,1,643.6156
239,epoch,120,1250,1,641.35
241,epoch,121,1250,1,636.2757
243,epoch,122,1250,1,631.57477
245,epoch,123,1250,1,628.7495
247,epoch,124,1250,1,625.2842
249,epoch,125,1250,1,622.04474
251,epoch,126,1250,1,618.3951
253,epoch,127,1250,1,614.50934
255,epoch,128,1250,1,611.95953
257,epoch,129,1250,1,609.4629
259,epoch,130,1250,1,606.31274
261,epoch,131,1250,1,603.23737
263,epoch,132,1250,1,600.5534
265,epoch,133,1250,1,597.92883
267,epoch,134,1250,1,596.0877
269,epoch,135,1250,1,594.6887
271,epoch,136,1250,1,593.709
273,epoch,137,1250,1,594.8162
275,epoch,138,1250,1,600.5714
277,epoch,139,1250,1,615.15985
279,epoch,140,1250,1,647.3042
281,epoch,141,1250,1,695.29083
283,epoch,142,1250,1,728.5029
285,epoch,143,1250,1,686.7122
287,epoch,144,1250,1,611.73584
289,epoch,145,1250,1,606.18036
291,epoch,146,1250,1,643.8971
293,epoch,147,1250,1,626.2375
295,epoch,148,1250,1,577.8471
297,epoch,149,1250,1,592.9404
299,epoch,150,1250,1,626.58203
301,epoch,151,1250,1,595.40717
303,epoch,152,1250,1,565.7843
305,epoch,153,1250,1,586.89056
307,epoch,154,1250,1,589.0641
309,epoch,155,1250,1,565.87354
311,epoch,156,1250,1,573.9409
313,epoch,157,1250,1,587.32904
315,epoch,158,1250,1,568.70636
317,epoch,159,1250,1,558.412
319,epoch,160,1250,1,568.28
321,epoch,161,1250,1,563.21735
323,epoch,162,1250,1,551.8975
325,epoch,163,1250,1,559.0213
327,epoch,164,1250,1,564.6699
329,epoch,165,1250,1,555.50104
331,epoch,166,1250,1,554.5105
333,epoch,167,1250,1,559.5559
335,epoch,168,1250,1,554.32513
337,epoch,169,1250,1,547.47437
339,epoch,170,1250,1,549.8966
341,epoch,171,1250,1,549.7627
343,epoch,172,1250,1,544.14557
345,epoch,173,1250,1,542.20593
347,epoch,174,1250,1,544.44275
349,epoch,175,1250,1,542.5905
351,epoch,176,1250,1,539.0028
353,epoch,177,1250,1,539.53265
355,epoch,178,1250,1,541.6253
357,epoch,179,1250,1,540.50183
359,epoch,180,1250,1,541.4912
361,epoch,181,1250,1,547.6809
363,epoch,182,1250,1,560.38007
365,epoch,183,1250,1,582.1453
367,epoch,184,1250,1,628.3182
369,epoch,185,1250,1,695.7535
371,epoch,186,1250,1,763.96045
373,epoch,187,1250,1,723.3413
375,epoch,188,1250,1,603.19165
377,epoch,189,1250,1,535.55927
379,epoch,190,1250,1,592.0141
381,epoch,191,1250,1,653.8374
383,epoch,192,1250,1,606.3156
385,epoch,193,1250,1,538.9557
387,epoch,194,1250,1,557.0085
389,epoch,195,1250,1,593.85504
391,epoch,196,1250,1,566.54205
393,epoch,197,1250,1,532.0861
395,epoch,198,1250,1,551.2383
397,epoch,199,1250,1,568.1755
399,epoch,200,1250,1,543.3656
401,epoch,201,1250,1,530.75397
403,epoch,202,1250,1,546.60046
405,epoch,203,1250,1,545.31696
407,epoch,204,1250,1,529.63416
409,epoch,205,1250,1,530.37994
411,epoch,206,1250,1,537.1943
413,epoch,207,1250,1,531.9691
415,epoch,208,1250,1,525.0738
417,epoch,209,1250,1,526.92883
419,epoch,210,1250,1,528.5379
421,epoch,211,1250,1,524.2893
423,epoch,212,1250,1,521.7056
425,epoch,213,1250,1,522.74786
427,epoch,214,1250,1,521.7715
429,epoch,215,1250,1,519.67993
431,epoch,216,1250,1,518.83746
433,epoch,217,1250,1,517.9453
435,epoch,218,1250,1,517.41156
437,epoch,219,1250,1,516.8144
439,epoch,220,1250,1,515.34424
441,epoch,221,1250,1,514.38666
443,epoch,222,1250,1,513.97766
445,epoch,223,1250,1,513.6302
447,epoch,224,1250,1,512.7505
449,epoch,225,1250,1,511.25107
451,epoch,226,1250,1,510.95126
453,epoch,227,1250,1,511.07892
455,epoch,228,1250,1,510.06177
457,epoch,229,1250,1,508.92206
459,epoch,230,1250,1,508.2473
461,epoch,231,1250,1,508.22778
463,epoch,232,1250,1,507.96298
465,epoch,233,1250,1,506.6723
467,epoch,234,1250,1,505.84683
469,epoch,235,1250,1,505.649
471,epoch,236,1250,1,505.48636
473,epoch,237,1250,1,504.98123
475,epoch,238,1250,1,503.8686
477,epoch,239,1250,1,503.25473
479,epoch,240,1250,1,503.0521
481,epoch,241,1250,1,502.77487
483,epoch,242,1250,1,502.32486
485,epoch,243,1250,1,501.4154
487,epoch,244,1250,1,500.8041
489,epoch,245,1250,1,500.44177
491,epoch,246,1250,1,500.1651
493,epoch,247,1250,1,499.86426
495,epoch,248,1250,1,499.17236
497,epoch,249,1250,1,498.5752
499,epoch,250,1250,1,497.97995
501,epoch,251,1250,1,497.59088
503,epoch,252,1250,1,497.31516
505,epoch,253,1250,1,496.89713
507,epoch,254,1250,1,496.4963
509,epoch,255,1250,1,495.88278
511,epoch,256,1250,1,495.38004
513,epoch,257,1250,1,494.85336
515,epoch,258,1250,1,494.43088
517,epoch,259,1250,1,494.07434
519,epoch,260,1250,1,493.67972
521,epoch,261,1250,1,493.3465
523,epoch,262,1250,1,492.88565
525,epoch,263,1250,1,492.49405
527,epoch,264,1250,1,491.984
529,epoch,265,1250,1,491.55466
531,epoch,266,1250,1,491.06058
533,epoch,267,1250,1,490.63416
535,epoch,268,1250,1,490.1835
537,epoch,269,1250,1,489.7674
539,epoch,270,1250,1,489.35413
541,epoch,271,1250,1,488.9407
543,epoch,272,1250,1,488.55923
545,epoch,273,1250,1,488.15286
547,epoch,274,1250,1,487.8216
549,epoch,275,1250,1,487.44827
551,epoch,276,1250,1,487.24316
553,epoch,277,1250,1,487.0326
555,epoch,278,1250,1,487.3035
557,epoch,279,1250,1,487.95956
559,epoch,280,1250,1,490.49677
561,epoch,281,1250,1,495.97495
563,epoch,282,1250,1,510.67957
565,epoch,283,1250,1,542.9858
567,epoch,284,1250,1,619.5996
569,epoch,285,1250,1,754.3415
571,epoch,286,1250,1,937.94763
573,epoch,287,1250,1,917.26215
575,epoch,288,1250,1,669.9368
577,epoch,289,1250,1,563.2037
579,epoch,290,1250,1,754.9294
581,epoch,291,1250,1,754.1601
583,epoch,292,1250,1,513.948
585,epoch,293,1250,1,586.8789
587,epoch,294,1250,1,654.6168
589,epoch,295,1250,1,499.8201
591,epoch,296,1250,1,588.18286
593,epoch,297,1250,1,594.44116
