Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.89,0.75,0.14
moral,0.78,0.74,0.41,0.08
verw,0.9,0.8,0.48,0.03
sparkont,0.74,0.74,0.36,0.09
beszeit,0.95,0.93,0.79,0.18
rate,0.91,0.91,0.72,0.3
famges,0.79,0.76,0.48,0.09
buerge,0.26,0.34,0.1,0.05
wohnzeit,0.93,0.92,0.76,0.3
verm,0.98,0.97,0.91,0.45
weitkred,0.46,0.52,0.22,0.05
wohn,0.67,0.72,0.41,0.15
bishkred,0.64,0.56,0.31,0.01
beruf,0.71,0.7,0.37,0.04
pers,0.5,0.6,0.33,0.17
telef,0.97,0.98,0.94,0.69
gastarb,0.15,0.24,0.08,0.04
kredit,0.87,0.9,0.77,0.47
