value,frequency,column
4,0.40375,laufkont
1,0.27,laufkont
2,0.26875,laufkont
3,0.0575,laufkont
2,0.53125,moral
4,0.3,moral
3,0.0875,moral
1,0.04375,moral
0,0.0375,moral
3,0.285,verw
0,0.235,verw
2,0.17125,verw
1,0.10375,verw
9,0.095,verw
6,0.05375,verw
5,0.0225,verw
4,0.0125,verw
8,0.01125,verw
10,0.01,verw
1,0.61,sparkont
5,0.18125,sparkont
2,0.0975,sparkont
3,0.06625,sparkont
4,0.045,sparkont
3,0.34625,beszeit
5,0.25875,beszeit
4,0.17,beszeit
2,0.1625,beszeit
1,0.0625,beszeit
4,0.47125,rate
2,0.22875,rate
3,0.16625,rate
1,0.13375,rate
3,0.5575,famges
2,0.31,famges
4,0.0875,famges
1,0.045,famges
1,0.90875,buerge
3,0.0525,buerge
2,0.03875,buerge
4,0.41,wohnzeit
2,0.30125,wohnzeit
3,0.15625,wohnzeit
1,0.1325,wohnzeit
3,0.3225,verm
1,0.28125,verm
2,0.24125,verm
4,0.155,verm
3,0.82125,weitkred
1,0.1325,weitkred
2,0.04625,weitkred
2,0.715,wohn
1,0.17625,wohn
3,0.10875,wohn
1,0.63375,bishkred
2,0.33,bishkred
3,0.03,bishkred
4,0.00625,bishkred
3,0.64,beruf
2,0.195,beruf
4,0.14375,beruf
1,0.02125,beruf
2,0.84625,pers
1,0.15375,pers
1,0.595,telef
2,0.405,telef
2,0.96125,gastarb
1,0.03875,gastarb
1,0.715,kredit
0,0.285,kredit
