laufkont laufzeit moral verw hoehe sparkont beszeit rate famges buerge wohnzeit verm alter weitkred wohn bishkred beruf pers telef gastarb kredit
2 15 4 3 2623 5 4 4 3 1 2 2 35 3 2 1 3 2 2 2 1
2 15 2 0 1246 2 3 2 2 1 2 2 25 3 2 1 3 2 1 2 0
1 24 2 2 3386 1 5 4 1 1 4 2 39 3 1 1 4 1 2 2 0
4 24 3 3 5071 4 5 4 3 1 4 2 33 3 2 1 3 2 2 2 1
1 24 3 0 4815 1 3 3 3 1 4 4 52 3 1 2 3 1 1 1 0
1 48 2 3 6887 1 3 3 4 1 2 3 31 3 2 1 3 2 2 2 0
1 6 2 4 342 1 2 4 2 1 1 1 27 3 3 1 3 2 1 2 1
1 24 2 3 2390 1 2 4 2 1 1 2 35 3 1 1 3 2 2 2 0
4 18 2 0 1712 1 3 4 4 1 2 2 30 1 2 1 3 2 2 2 1
1 24 2 0 1381 5 3 4 2 1 4 4 25 3 1 1 3 2 1 2 0
1 24 2 9 11335 1 3 1 2 1 4 3 23 3 1 2 4 2 2 2 0
2 42 2 9 9298 1 1 3 3 2 1 4 55 1 2 1 4 2 2 2 1
4 36 2 3 3782 5 5 4 2 1 4 1 45 3 2 1 2 2 2 2 1
2 18 2 3 1413 5 4 4 3 1 4 4 49 3 2 1 2 2 1 2 1
1 24 2 2 4064 1 3 2 3 1 3 2 27 3 2 1 3 2 2 1 1
2 9 2 3 794 3 3 4 4 1 3 1 66 1 2 1 2 2 1 2 1
3 12 2 0 1040 3 4 3 3 1 1 1 39 3 2 1 2 2 1 2 1
4 30 4 2 7634 5 5 4 2 1 4 4 63 3 2 2 4 2 2 2 1
4 15 2 4 877 5 2 4 2 1 1 1 24 3 2 1 3 2 1 2 1
1 27 3 3 3435 1 3 3 3 3 4 3 27 3 2 1 3 2 2 2 1
2 36 4 1 8613 2 1 3 3 1 2 4 31 1 2 1 4 2 2 2 1
4 24 4 1 4761 1 4 3 3 1 3 3 35 2 2 2 3 2 2 2 1
2 21 2 3 3335 2 2 4 3 1 2 3 29 3 2 1 3 2 1 2 0
4 4 2 0 3077 1 4 1 2 1 1 1 37 3 2 1 3 1 1 2 1
2 12 2 3 6614 5 1 4 2 1 1 4 52 3 3 1 3 2 2 2 0
2 15 3 0 6981 5 1 1 3 1 4 2 34 1 2 1 4 1 2 2 0
1 12 2 9 2579 1 1 3 1 1 4 4 55 3 3 1 2 2 2 2 1
2 21 2 0 2775 1 4 2 4 1 1 2 31 1 2 1 4 2 2 2 1
4 18 4 0 1082 1 2 4 2 3 1 2 30 3 2 2 3 2 1 2 1
2 71 3 3 5375 2 3 2 4 1 2 3 24 3 2 1 3 1 1 2 0
4 18 4 0 981 1 3 4 2 1 4 1 36 3 2 2 3 2 1 2 1
1 48 2 2 4378 1 2 4 2 1 4 2 24 3 1 1 3 2 1 2 0
2 18 4 9 2773 5 5 2 3 1 4 3 43 3 1 1 3 1 2 2 1
2 18 4 3 1795 1 5 3 2 1 4 1 48 3 2 2 2 2 1 2 1
2 24 4 0 2359 4 4 2 4 1 1 3 27 3 2 2 4 2 2 2 1
4 18 2 1 3183 5 4 3 3 1 4 4 38 3 3 1 4 2 2 2 1
4 12 4 9 701 1 5 4 3 1 2 3 32 3 2 2 3 2 1 2 1
1 36 4 1 5350 1 3 2 3 1 2 2 28 3 2 2 3 2 1 2 0
3 12 2 2 1257 1 5 2 1 1 4 2 49 3 2 1 3 2 1 1 1
4 24 2 3 3342 3 2 2 4 1 3 3 36 2 2 1 4 2 2 2 1
4 18 4 2 3867 4 2 1 4 1 1 3 35 3 2 2 3 2 2 2 1
2 24 1 0 4332 1 3 4 3 1 2 1 36 2 3 2 4 2 2 2 0
2 48 3 1 2826 3 5 4 3 1 2 3 37 3 2 2 3 1 2 2 1
1 11 4 0 3857 1 3 2 3 1 2 1 36 3 1 2 3 1 1 2 1
3 18 2 2 1924 4 2 4 2 1 4 2 27 3 1 1 3 2 1 2 0
2 6 4 0 795 5 3 1 3 1 2 1 26 3 2 1 2 1 1 2 1
1 15 2 2 1884 1 2 1 2 1 4 2 45 3 2 1 3 2 1 2 1
4 12 4 2 1203 1 3 3 2 3 2 1 27 3 1 2 2 2 1 2 1
4 12 2 3 2030 2 3 2 1 1 2 1 28 3 2 1 3 2 1 2 1
1 8 2 2 1238 1 3 3 2 1 1 1 24 3 1 1 3 2 1 2 0
1 18 3 3 1821 1 3 4 3 1 2 3 24 3 2 2 3 2 1 2 1
2 12 4 6 2745 1 5 2 2 1 4 4 57 3 3 3 2 2 1 2 1
2 24 2 0 1222 1 2 4 4 1 1 2 26 1 2 1 3 2 1 2 1
4 36 4 3 2687 1 3 2 3 1 2 1 27 3 2 2 3 1 2 2 1
3 12 2 1 2951 1 2 3 2 1 1 1 34 3 1 1 3 2 1 1 1
1 24 2 0 7685 5 2 1 2 1 2 2 30 3 2 1 3 2 2 2 1
1 21 2 2 1189 3 2 2 3 1 4 2 39 1 2 1 3 2 1 2 0
3 18 2 2 2802 1 3 2 3 1 3 1 34 3 2 1 2 1 1 2 0
2 10 4 3 1322 5 4 4 3 1 1 2 27 3 2 2 3 2 1 2 1
4 24 4 1 6870 5 4 1 3 1 4 2 46 2 2 2 3 1 2 2 1
1 9 2 2 1935 1 3 4 3 1 2 2 38 3 2 1 3 2 2 2 1
2 12 4 9 1413 1 3 3 3 1 2 2 31 3 2 1 2 2 1 2 1
2 36 2 6 3832 1 5 3 2 1 1 3 42 3 2 1 3 2 2 2 0
4 12 4 3 615 1 5 4 3 1 4 1 57 2 3 3 3 2 1 2 1
4 12 2 3 1472 1 2 2 2 1 3 3 34 3 2 1 3 2 1 2 1
2 12 4 0 3914 1 3 1 3 1 2 1 40 3 2 2 2 1 1 2 1
1 15 4 2 1441 1 3 4 2 1 4 2 25 3 2 2 3 2 1 2 0
4 36 3 9 7410 2 3 4 3 1 2 2 37 3 2 2 3 2 1 2 1
1 24 3 0 1428 1 4 2 2 1 4 3 23 3 1 2 3 2 1 1 0
1 24 4 1 6611 1 1 2 2 1 4 4 75 3 3 1 4 2 2 2 1
4 36 2 9 4020 1 3 4 3 1 2 1 23 3 2 1 3 2 2 2 1
4 6 2 2 3565 1 3 2 3 3 2 2 26 3 2 1 3 2 1 1 1
1 36 4 2 11747 1 2 1 2 1 2 3 26 3 2 2 4 2 2 2 0
2 21 3 2 2277 1 2 2 2 1 4 3 33 3 1 1 3 2 1 2 0
4 12 2 3 1412 3 4 2 3 1 1 2 26 1 2 1 3 2 1 2 1
1 12 2 0 2729 3 2 1 2 1 4 2 25 3 2 1 3 2 2 2 0
4 24 2 2 1911 1 3 2 3 1 2 1 26 3 2 1 3 2 1 2 1
1 8 4 2 707 1 5 4 3 1 4 1 47 3 2 2 2 2 1 2 1
2 30 0 9 4149 1 4 2 2 1 1 3 28 3 2 2 3 2 1 2 1
1 30 1 9 3579 4 1 4 2 1 4 3 56 3 1 4 3 2 2 2 1
2 36 4 9 9568 2 5 2 3 1 2 2 31 1 2 2 2 1 2 2 1
2 8 2 3 2466 1 3 2 3 1 2 1 35 3 2 1 3 2 1 2 1
3 18 4 0 2009 1 3 4 3 1 4 4 47 3 3 1 2 1 1 2 1
1 24 2 0 1203 1 3 4 2 1 4 2 24 1 1 4 3 2 1 2 0
1 48 2 1 7440 1 4 3 3 1 4 4 50 3 3 1 4 2 2 2 1
2 6 4 0 659 1 3 1 2 1 4 4 38 3 2 2 2 2 1 1 1
4 21 2 3 1573 3 5 4 2 1 4 1 36 1 2 1 2 2 1 2 1
2 9 1 0 1443 2 4 2 3 1 3 4 29 1 2 1 3 2 1 2 0
3 18 2 3 1448 3 2 4 2 1 1 3 39 3 2 1 3 2 2 2 1
3 12 4 0 948 3 4 4 3 2 3 1 46 1 2 2 2 1 1 2 1
4 18 4 3 2326 1 2 3 4 1 2 1 34 3 2 2 3 2 1 2 1
2 24 2 3 1544 2 4 2 3 1 3 3 32 3 2 1 3 2 1 2 1
3 24 4 2 4591 1 2 2 2 1 4 2 25 1 2 1 2 2 1 2 0
4 9 2 6 1163 2 5 3 1 1 4 1 48 3 1 1 3 2 1 2 1
1 36 2 0 7408 1 3 2 2 1 2 2 55 3 1 2 1 2 1 2 0
2 24 2 6 1845 1 2 4 1 1 2 3 29 3 2 4 3 2 2 2 0
2 12 2 3 1494 2 3 4 4 1 1 1 25 2 2 1 3 2 2 2 1
4 26 4 2 4353 1 2 4 3 1 2 1 32 2 2 2 2 1 2 2 1
1 18 4 3 1904 1 5 4 2 1 1 2 32 3 2 2 3 2 2 2 0
4 10 4 0 1223 1 3 4 3 1 4 3 33 3 2 2 2 2 1 1 1
2 24 3 0 2577 1 5 2 3 1 4 1 47 3 3 2 2 1 1 2 0
1 24 2 9 1793 1 5 4 3 1 2 3 30 1 2 1 3 1 1 2 0
3 8 4 9 1168 1 1 2 3 1 4 4 51 1 3 2 4 1 2 2 1
1 24 2 2 4243 1 5 4 3 1 4 2 28 1 2 1 3 2 1 2 1
4 30 4 3 5758 1 2 4 3 2 1 3 25 3 2 2 3 2 1 2 1
2 48 1 9 12211 5 3 4 3 1 2 3 49 1 2 1 3 2 2 2 0
1 6 2 0 1413 5 1 4 2 1 3 2 75 3 2 1 2 2 2 2 0
2 60 1 9 14728 1 5 2 2 1 4 4 60 1 2 2 4 2 2 2 0
2 12 2 2 1041 4 2 1 2 1 4 1 19 3 1 2 2 2 1 2 0
2 36 1 0 12450 5 3 1 1 1 4 4 37 3 1 1 4 2 2 2 0
4 24 4 9 1940 4 5 4 3 1 4 1 60 1 2 3 4 1 2 2 1
4 21 3 9 2962 4 3 3 3 1 2 1 28 1 2 2 2 2 2 2 1
1 12 3 9 1050 1 5 4 3 1 3 3 48 3 1 2 3 2 1 2 0
3 6 2 2 3447 1 3 1 1 1 4 1 44 3 1 1 4 2 2 1 0
4 24 4 0 2028 1 3 2 2 1 4 3 37 3 1 1 3 2 2 2 1
1 24 2 1 3077 5 5 4 3 1 4 4 49 3 3 1 3 1 2 2 1
4 21 4 1 3352 1 5 4 3 1 4 3 36 3 2 1 4 1 2 2 1
4 36 4 0 7459 4 5 2 2 1 4 3 40 3 1 2 3 2 2 2 1
3 12 4 0 3109 1 2 1 3 1 3 2 49 2 2 2 2 1 1 2 1
