Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.9,0.73,0.16
moral,0.77,0.73,0.4,0.07
verw,0.89,0.77,0.44,0.01
sparkont,0.7,0.69,0.32,0.07
beszeit,0.94,0.93,0.76,0.2
rate,0.93,0.92,0.76,0.31
famges,0.78,0.75,0.47,0.09
buerge,0.32,0.4,0.13,0.05
wohnzeit,0.93,0.92,0.76,0.31
verm,0.97,0.97,0.9,0.47
weitkred,0.51,0.57,0.26,0.07
wohn,0.69,0.73,0.42,0.16
bishkred,0.66,0.59,0.33,0.01
beruf,0.72,0.7,0.39,0.02
pers,0.52,0.62,0.35,0.18
telef,0.95,0.96,0.9,0.62
gastarb,0.14,0.22,0.07,0.04
kredit,0.85,0.89,0.74,0.44
