value,frequency,column
3,0.2825,laufkont
4,0.2425,laufkont
2,0.24,laufkont
1,0.235,laufkont
2,0.53125,moral
4,0.2725,moral
3,0.0775,moral
1,0.06625,moral
0,0.0525,moral
3,0.285,verw
0,0.26625,verw
2,0.185,verw
9,0.10375,verw
1,0.095,verw
6,0.04875,verw
4,0.01,verw
10,0.00375,verw
5,0.0025,verw
1,0.21125,sparkont
2,0.21125,sparkont
3,0.19875,sparkont
4,0.19375,sparkont
5,0.185,sparkont
3,0.34125,beszeit
5,0.2425,beszeit
2,0.17125,beszeit
4,0.17,beszeit
1,0.075,beszeit
4,0.475,rate
2,0.22625,rate
3,0.15125,rate
1,0.1475,rate
3,0.28125,famges
2,0.26,famges
1,0.25125,famges
4,0.2075,famges
1,0.88125,buerge
3,0.0775,buerge
2,0.04125,buerge
4,0.39375,wohnzeit
2,0.29875,wohnzeit
3,0.175,wohnzeit
1,0.1325,wohnzeit
4,0.28375,verm
2,0.24375,verm
3,0.23625,verm
1,0.23625,verm
3,0.79875,weitkred
1,0.14125,weitkred
2,0.06,weitkred
1,0.36125,wohn
2,0.325,wohn
3,0.31375,wohn
1,0.625,bishkred
2,0.34375,bishkred
4,0.02625,bishkred
3,0.005,bishkred
3,0.6125,beruf
2,0.21875,beruf
4,0.1625,beruf
1,0.00625,beruf
2,0.795,pers
1,0.205,pers
1,0.6,telef
2,0.4,telef
2,0.5275,gastarb
1,0.4725,gastarb
1,0.67875,kredit
0,0.32125,kredit
