,type,this_epoch,total_epochs,batch_num,loss
10,epoch,1,50,10,171623.69
21,epoch,2,50,10,35095.94
32,epoch,3,50,10,11863.637
43,epoch,4,50,10,5604.13
54,epoch,5,50,10,3698.4617
65,epoch,6,50,10,2879.8806
76,epoch,7,50,10,2301.1638
87,epoch,8,50,10,1887.3301
98,epoch,9,50,10,1568.3071
109,epoch,10,50,10,1350.5038
120,epoch,11,50,10,1202.872
131,epoch,12,50,10,1100.1998
142,epoch,13,50,10,1021.07074
153,epoch,14,50,10,956.03876
164,epoch,15,50,10,902.4679
175,epoch,16,50,10,857.3177
186,epoch,17,50,10,817.325
197,epoch,18,50,10,781.7438
208,epoch,19,50,10,749.62274
219,epoch,20,50,10,720.841
230,epoch,21,50,10,695.02844
241,epoch,22,50,10,671.8083
252,epoch,23,50,10,650.6242
263,epoch,24,50,10,631.16766
274,epoch,25,50,10,613.2104
285,epoch,26,50,10,596.403
296,epoch,27,50,10,580.8729
307,epoch,28,50,10,566.4555
318,epoch,29,50,10,552.93866
329,epoch,30,50,10,540.32446
340,epoch,31,50,10,528.4332
351,epoch,32,50,10,517.13055
362,epoch,33,50,10,507.01367
373,epoch,34,50,10,496.56467
384,epoch,35,50,10,487.0103
395,epoch,36,50,10,478.07797
406,epoch,37,50,10,469.30026
417,epoch,38,50,10,461.29996
428,epoch,39,50,10,453.6356
439,epoch,40,50,10,446.09488
450,epoch,41,50,10,439.07468
461,epoch,42,50,10,432.3003
472,epoch,43,50,10,425.95078
483,epoch,44,50,10,420.14142
494,epoch,45,50,10,414.54645
505,epoch,46,50,10,409.15442
516,epoch,47,50,10,403.66635
527,epoch,48,50,10,398.65164
538,epoch,49,50,10,394.37677
549,epoch,50,50,10,390.8044
