value,frequency,column
Male,0.8095623987034035,sex
Female,0.19043760129659643,sex
25 - 45,0.5688816855753647,age_cat
Less than 25,0.22062398703403566,age_cat
Greater than 45,0.21049432739059967,age_cat
African-American,0.5153970826580226,race
Caucasian,0.3419773095623987,race
Hispanic,0.08022690437601297,race
Other,0.055915721231766614,race
Asian,0.004659643435980551,race
Native American,0.0018233387358184765,race
F,0.6391815235008104,c_charge_degree
M,0.36081847649918963,c_charge_degree
0,0.5141815235008104,is_recid
1,0.48581847649918963,is_recid
Low,0.5457860615883307,score_text
Medium,0.26195299837925445,score_text
High,0.19226094003241492,score_text
0,0.5429497568881686,two_year_recid
1,0.45705024311183146,two_year_recid
