value,frequency,column
Male,0.5243111831442464,sex
Female,0.47568881685575365,sex
Greater than 45,0.36912479740680715,age_cat
25 - 45,0.35048622366288495,age_cat
Less than 25,0.28038897893030795,age_cat
Native American,0.1746353322528363,race
African-American,0.17220421393841168,race
Asian,0.1663290113452188,race
Caucasian,0.16592382495948135,race
Other,0.16389789303079416,race
Hispanic,0.1570097244732577,race
F,0.6351296596434359,c_charge_degree
M,0.364870340356564,c_charge_degree
0,0.5121555915721232,is_recid
1,0.4878444084278768,is_recid
Low,0.5372771474878444,score_text
Medium,0.2676256077795786,score_text
High,0.19509724473257697,score_text
0,0.5395056726094003,two_year_recid
1,0.4604943273905997,two_year_recid
